job,state,1,2,3,4,5,count
data analyst,New York,83774.666665,91672.666665,98335.0,105551.66665,129268.0,5
data analyst,North Carolina,89328.666665,93096.0,93695.66667,94968.333335,106003.0,5
data analyst,Ohio,87982.4583325,90894.79167,93346.16667,95797.54167,108290.50000125001,4
data analyst,Oklahoma,89890.20833,91055.95833,91638.83333,92221.70833,93387.45833,2
data analyst,Oregon,73078.79166374999,83827.70833125,89202.166665,94576.62499874999,105325.54166625,2
data analyst,Pennsylvania,97369.0000025,97379.6666675,97385.0,99832.833325,104728.499975,3
data analyst,Rhode Island,86444.0,86444.0,86444.0,86444.0,86444.0,1
data analyst,South Carolina,84665.5833325,87440.7499975,88828.33333,89917.83333,92096.83333,3
data analyst,South Dakota,78939.66667,78939.66667,78939.66667,78939.66667,78939.66667,1
data analyst,Tennessee,86262.79166875,88198.25,91184.0,94169.75,99568.75,4
data analyst,Texas,89877.875,98300.75001250001,102707.0,104195.74998749999,108986.6666625,10
data analyst,Utah,96908.16666374999,98099.83333125,98695.666665,99291.49999874999,100483.16666625,2
data analyst,Vermont,80554.66667,80554.66667,80554.66667,80554.66667,80554.66667,1
data analyst,Virginia,85668.66667,96630.08333375,97903.333335,98137.58333625001,102216.62501250001,6
data analyst,Washington,86436.166665,92777.833335,95468.66667,104179.666685,115150.1667,5
data analyst,Wisconsin,71383.25,79235.375,88830.5,98425.625,106440.875,4
data engineer,Alabama,94477.9166625,101759.74998749999,105400.66665,109041.5833125,116323.41663749999,2
data engineer,Arizona,102868.2083125,105480.3333375,107737.33335,109994.33336250001,119459.7917,4
data engineer,California,118593.62501250001,125542.95836250001,127245.5,134563.0833375,142638.0833,14
data engineer,Colorado,112716.5,118383.5,121217.0,125547.25,134207.75,3
data engineer,Connecticut,123341.0,123341.0,123341.0,123341.0,123341.0,1
data engineer,Florida,102905.33335,111858.83335,116682.0,117921.83335,132007.83335,5
data engineer,Georgia,115355.25,118397.75,119919.0,121440.25,124482.75,2
data engineer,Idaho,131535.6667,131535.6667,131535.6667,131535.6667,131535.6667,1
data engineer,Illinois,126948.3333,126948.3333,126948.3333,126948.3333,126948.3333,1
data engineer,Indiana,87394.4166675,89229.2500025,90146.66667,92660.9166775,97689.4166925,3
data engineer,Iowa,99820.66667,99820.66667,99820.66667,99820.66667,99820.66667,1
