locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
connecticutvice president of engineering,connecticut,vice president of engineering,connecticut,vice president of engineering,,,connecticut,vice president of engineering,253108,,229783,,,,,,,241445.5
san diego californiasenior engineer,san diego california,senior engineer,san diego california,senior engineer,san diego california,senior engineer,san diego california,senior engineer,211947,207192,304735,,,,,,,241291.3333
berkeley californiachief operating officer,berkeley california,chief operating officer,berkeley california,chief operating officer,berkeley california,chief operating officer,,,194867,287304,,,,,,,,241085.5
raleigh-durham north carolinachief operating officer,raleigh-durham north carolina,chief operating officer,raleigh-durham north carolina,chief operating officer,raleigh-durham north carolina,chief operating officer,,,217136,264000,,,,,,,,240568
milwaukee wisconsinchief operating officer,milwaukee wisconsin,chief operating officer,milwaukee wisconsin,chief operating officer,milwaukee wisconsin,chief operating officer,milwaukee wisconsin,chief operating officer,209345,235000,276721,,,,,,,240355.3333
houston texaschief operating officer,houston texas,chief operating officer,houston texas,chief operating officer,houston texas,chief operating officer,houston texas,chief operating officer,202338,300000,218546,15-Sep-22,,8-Dec-22,,,,240294.6667
tennesseechief technology officer,tennessee,chief technology officer,tennessee,chief technology officer,,,tennessee,chief technology officer,270424,,209869,,,28-Jul-22,,,With two date,240146.5
las vegas nevadachief technology officer,las vegas nevada,chief technology officer,las vegas nevada,chief technology officer,las vegas nevada,chief technology officer,las vegas nevada,chief technology officer,217822,185000,315730,,,,,,,239517.3333
atlanta georgiachief technology officer,atlanta georgia,chief technology officer,atlanta georgia,chief technology officer,atlanta georgia,chief technology officer,atlanta georgia,chief technology officer,313869,208382,195200,,,,,,,239150.3333
miami floridavice president of engineering,miami florida,vice president of engineering,miami florida,vice president of engineering,miami florida,vice president of engineering,miami florida,vice president of engineering,288011,222247,206766,,,,,,,239008
boston massachusettschief operating officer,boston massachusetts,chief operating officer,boston massachusetts,chief operating officer,boston massachusetts,chief operating officer,boston massachusetts,chief operating officer,204169,348137,164401,,16-Sep-22,13-Feb-23,,With two date,,238902.3333
cambridge massachusettsengineer manager,cambridge massachusetts,engineer manager,cambridge massachusetts,engineer manager,cambridge massachusetts,engineer manager,cambridge massachusetts,engineer manager,161531,109697,445203,,,,,,,238810.3333
austin texaschief operating officer,austin texas,chief operating officer,austin texas,chief operating officer,austin texas,chief operating officer,austin texas,chief operating officer,229714,277743,208020,,,23-Apr-23,,,,238492.3333
spokane washingtonchief technology officer,spokane washington,chief technology officer,spokane washington,chief technology officer,spokane washington,chief technology officer,spokane washington,chief technology officer,195464,155000,364582,,,,,,,238348.6667
