locationjob,location,job,gd_location,gd_job,ps_location,ps_job,indeed_location,indeed_location.1,gd_salary,ps_salary,indeed_salary,gd_date,ps_date,indeed_date,gd_two_date,ps_two_date,indeed_two_date,avg_salary
scottsdale arizonamobile developer,scottsdale arizona,mobile developer,scottsdale arizona,mobile developer,,,scottsdale arizona,mobile developer,90541,,60000,,,,,,,75270.5
louisianabusiness intelligence developer,louisiana,business intelligence developer,louisiana,business intelligence developer,,,louisiana,business intelligence developer,85529,65000,,,,8-Jun-23,,,,75264.5
greenville south carolinaweb developer,greenville south carolina,web developer,greenville south carolina,web developer,greenville south carolina,web developer,greenville south carolina,web developer,84978,68500,72308,,,,,,,75262
chandler arizonafrontend developer,chandler arizona,frontend developer,chandler arizona,frontend developer,chandler arizona,frontend developer,,,88075,62400,,,17-Aug-21,,,,,75237.5
irvine californiasoftware engineering intern,irvine california,software engineering intern,irvine california,software engineering intern,,,,,82432,68017,,,,,,,,75224.5
spokane washingtonfrontend software engineer,spokane washington,frontend software engineer,spokane washington,frontend software engineer,spokane washington,frontend software engineer,spokane washington,frontend software engineer,92420,52974,80259,,,29-Mar-23,,,,75217.66667
san antonio texasjunior engineer manager,san antonio texas,junior engineer manager,san antonio texas,junior engineer manager,,,san antonio texas,junior engineer manager,80285,,70015,,,,,,,75150
st. louis missouriit support engineer,st. louis missouri,it support engineer,st. louis missouri,it support engineer,st. louis missouri,it support engineer,,,97458,52841,,,,,,,,75149.5
fresno californiasoftware quality assurance engineer,fresno california,software quality assurance engineer,fresno california,software quality assurance engineer,fresno california,software quality assurance engineer,fresno california,software quality assurance engineer,92544,63715,69168,,,29-Mar-23,,,With two date,75142.33333
jersey city new jerseyit support engineer,jersey city new jersey,it support engineer,jersey city new jersey,it support engineer,jersey city new jersey,it support engineer,jersey city new jersey,it support engineer,88595,67500,69296,,,,,,,75130.33333
las vegas nevadaprogrammer,las vegas nevada,programmer,las vegas nevada,programmer,,,las vegas nevada,programmer,81975,,68275,,,,,,,75125
alabamaprogrammer,alabama,programmer,alabama,programmer,,,alabama,programmer,70842,,79407,,,25-Jul-22,,,With two date,75124.5
houston texascomputer programmer,houston texas,computer programmer,houston texas,computer programmer,,,houston texas,computer programmer,75116,,75086,,,,,,,75101
baton rouge louisianaanalytics consultant,baton rouge louisiana,analytics consultant,baton rouge louisiana,analytics consultant,baton rouge louisiana,analytics consultant,,,88712,61463,,,,,,,,75087.5
californiajunior frontend developer,california,junior frontend developer,california,junior frontend developer,,,california,junior frontend developer,85446,,64657,,,21-Apr-23,,,,75051.5
memphis tennesseejunior engineer manager,memphis tennessee,junior engineer manager,memphis tennessee,junior engineer manager,,,memphis tennessee,junior engineer manager,80710,,69383,,,,,,,75046.5
bloomington indianaweb developer,bloomington indiana,web developer,bloomington indiana,web developer,bloomington indiana,web developer,bloomington indiana,web developer,110963,54478,59614,,,,,,,75018.33333
virginiajunior data analyst,virginia,junior data analyst,virginia,junior data analyst,,,virginia,junior data analyst,86471,,63503,,,22-Apr-23,,,With two date,74987
new york new yorkjunior software architect,new york new york,junior software architect,new york new york,junior software architect,,,new york new york,junior software architect,89013,,60931,,,3-Jun-23,,,With two date,74972
burlington vermonttechnical lead,burlington vermont,technical lead,burlington vermont,technical lead,burlington vermont,technical lead,,,105924,44000,,,,,,,,74962
honolulu hawaiijunior frontend developer,honolulu hawaii,junior frontend developer,honolulu hawaii,junior frontend developer,,,honolulu hawaii,junior frontend developer,73583,,76311,,,,,,,74947
charlotte north carolinacomputer programmer,charlotte north carolina,computer programmer,charlotte north carolina,computer programmer,,,charlotte north carolina,computer programmer,74386,,75490,,,20-Jan-21,,,With two date,74938
cary north carolinabusiness intelligence developer,cary north carolina,business intelligence developer,cary north carolina,business intelligence developer,cary north carolina,business intelligence developer,,,75310,74500,,,,,,,,74905
albany new yorksenior system engineer,albany new york,senior system engineer,albany new york,senior system engineer,albany new york,senior system engineer,,,89531,60278,,,,,,,,74904.5
los angeles californiajunior frontend developer,los angeles california,junior frontend developer,los angeles california,junior frontend developer,,,los angeles california,junior frontend developer,81469,,68293,,,,,,,74881
charleston south carolinaweb developer,charleston south carolina,web developer,charleston south carolina,web developer,charleston south carolina,web developer,charleston south carolina,web developer,86740,72208,65632,,,,,,,74860
new jerseyjunior java developer,new jersey,junior java developer,new jersey,junior java developer,,,new jersey,junior java developer,79899,,69691,15-Sep-22,,29-Jan-23,,,With two date,74795
mobile alabamasoftware developer,mobile alabama,software developer,mobile alabama,software developer,mobile alabama,software developer,,,103546,46000,,,,,,,,74773
nebraskajunior java developer,nebraska,junior java developer,nebraska,junior java developer,,,nebraska,junior java developer,81517,,68000,,,,,,,74758.5
columbia south carolinacomputer programmer,columbia south carolina,computer programmer,columbia south carolina,computer programmer,,,columbia south carolina,computer programmer,72916,,76575,,,,,,,74745.5
rochester new yorkcomputer programmer,rochester new york,computer programmer,rochester new york,computer programmer,,,rochester new york,computer programmer,72052,,77414,,,,,,,74733
laramie wyomingengineer manager,laramie wyoming,engineer manager,laramie wyoming,engineer manager,,,laramie wyoming,engineer manager,97989,,51438,,,,,,,74713.5
irvine californiajunior frontend developer,irvine california,junior frontend developer,irvine california,junior frontend developer,,,irvine california,junior frontend developer,79082,,70318,,,,,,,74700
denver coloradomobile developer,denver colorado,mobile developer,denver colorado,mobile developer,denver colorado,mobile developer,denver colorado,mobile developer,90124,,59184,,,,,,,74654
tulsa oklahomajunior software engineer,tulsa oklahoma,junior software engineer,tulsa oklahoma,junior software engineer,tulsa oklahoma,junior software engineer,tulsa oklahoma,junior software engineer,87445,59495,77018,,,18-Apr-23,,,With two date,74652.66667
san jose californiacomputer programmer,san jose california,computer programmer,san jose california,computer programmer,,,san jose california,computer programmer,75751,,73505,,,16-Oct-22,,,With two date,74628
springfield missouriweb developer,springfield missouri,web developer,springfield missouri,web developer,springfield missouri,web developer,,,78455,,70689,,,,,,,74572
plano texascomputer programmer,plano texas,computer programmer,plano texas,computer programmer,,,plano texas,computer programmer,74867,,74189,,,,,,,74528
manitoba canadamobile developer,manitoba canada,mobile developer,manitoba canada,mobile developer,,,,,83783,65244,,,,,,,,74513.5
lexington kentuckyjunior software engineer,lexington kentucky,junior software engineer,lexington kentucky,junior software engineer,,,lexington kentucky,junior software engineer,85490,,63508,,,,,,,74499
spokane washingtonsoftware quality assurance engineer,spokane washington,software quality assurance engineer,spokane washington,software quality assurance engineer,,,spokane washington,software quality assurance engineer,90810,,58157,,,,,,,74483.5
scottsdale arizonaprogrammer,scottsdale arizona,programmer,scottsdale arizona,programmer,,,scottsdale arizona,programmer,79137,,69816,,,,,,,74476.5
long beach californiaprogrammer,long beach california,programmer,long beach california,programmer,,,long beach california,programmer,77109,,71830,,,,,,,74469.5
mississippibusiness intelligence developer,mississippi,business intelligence developer,mississippi,business intelligence developer,,,mississippi,business intelligence developer,81046,,67835,,,,,,,74440.5
new mexicoprincipal technical lead,new mexico,principal technical lead,new mexico,principal technical lead,,,new mexico,principal technical lead,98372,,50443,,,,,,,74407.5
connecticutjunior technical lead,connecticut,junior technical lead,connecticut,junior technical lead,,,connecticut,junior technical lead,78688,,70059,,,8-Jun-23,,,,74373.5
maineprincipal technical lead,maine,principal technical lead,maine,principal technical lead,,,maine,principal technical lead,102254,,46426,,,,,,,74340
burlington vermontios developer,burlington vermont,ios developer,burlington vermont,ios developer,,,burlington vermont,ios developer,96224,,52422,,,,,,,74323
burlington vermontjunior software engineer,burlington vermont,junior software engineer,burlington vermont,junior software engineer,burlington vermont,junior software engineer,burlington vermont,junior software engineer,86955,50565,85357,,,,,,,74292.33333
west virginiajunior software engineer,west virginia,junior software engineer,west virginia,junior software engineer,,,west virginia,junior software engineer,65329,,83234,,,6-Sep-22,,,,74281.5
new jerseysite reliability engineer,new jersey,site reliability engineer,new jersey,site reliability engineer,,,new jersey,site reliability engineer,106589,55387,60679,,,,,,,74218.33333
tucson arizonasenior web developer,tucson arizona,senior web developer,tucson arizona,senior web developer,tucson arizona,senior web developer,tucson arizona,senior web developer,114413,57337,50904,,,,,,,74218
sacramento californiacomputer programmer,sacramento california,computer programmer,sacramento california,computer programmer,,,sacramento california,computer programmer,70939,,77409,,,18-Sep-19,,,With two date,74174
delawareinformation technology manager,delaware,information technology manager,delaware,information technology manager,,,delaware,information technology manager,97572,,50755,,,,,,,74163.5
wisconsinjunior java developer,wisconsin,junior java developer,wisconsin,junior java developer,,,wisconsin,junior java developer,71736,,76586,,,,,,,74161
arkansasfrontend developer,arkansas,frontend developer,arkansas,frontend developer,,,arkansas,frontend developer,74314,,73997,,,,,,,74155.5
berkeley californiajunior software engineer,berkeley california,junior software engineer,berkeley california,junior software engineer,,,berkeley california,junior software engineer,75471,,72714,,,,,,,74092.5
colorado springs coloradogeotechnical engineer,colorado springs colorado,geotechnical engineer,colorado springs colorado,geotechnical engineer,,,colorado springs colorado,geotechnical engineer,84036,,64120,,,,,,,74078
pittsburgh pennsylvaniasoftware engineering intern,pittsburgh pennsylvania,software engineering intern,pittsburgh pennsylvania,software engineering intern,,,,,82632,65500,,,,,,,,74066
halifax nsfullstack developer,halifax ns,fullstack developer,halifax ns,fullstack developer,,,halifax ns,fullstack developer,68932,,79173,,,,,,,74052.5
portland mainefrontend developer,portland maine,frontend developer,portland maine,frontend developer,portland maine,frontend developer,portland maine,frontend developer,81164,49920,90994,,,,,,,74026
new jerseyjunior data analyst,new jersey,junior data analyst,new jersey,junior data analyst,,,new jersey,junior data analyst,82265,,65610,,,,,,,73937.5
halifax nssoftware developer,halifax ns,software developer,halifax ns,software developer,,,halifax ns,software developer,79665,,68162,,,,,,,73913.5
jackson mississippiengineer manager,jackson mississippi,engineer manager,jackson mississippi,engineer manager,,,jackson mississippi,engineer manager,84425,,63376,15-Sep-22,,21-Jul-21,,,,73900.5
san diego californiajunior engineer manager,san diego california,junior engineer manager,san diego california,junior engineer manager,,,san diego california,junior engineer manager,71391,,76314,,,,,,With two date,73852.5
brooklyn new yorkcomputer programmer,brooklyn new york,computer programmer,brooklyn new york,computer programmer,,,brooklyn new york,computer programmer,71826,,75855,,,,,,,73840.5
little rock arkansasweb developer,little rock arkansas,web developer,little rock arkansas,web developer,little rock arkansas,web developer,little rock arkansas,web developer,97228,60500,63708,,,,,,,73812
edmonton abjunior senior engineer,edmonton ab,junior senior engineer,edmonton ab,junior senior engineer,,,edmonton ab,junior senior engineer,75184,,72420,,,,,,,73802
halifax nsfrontend developer,halifax ns,frontend developer,halifax ns,frontend developer,,,halifax ns,frontend developer,73610,,73975,,,26-Apr-23,,,,73792.5
montanaweb developer,montana,web developer,montana,web developer,,,montana,web developer,84945,,62612,,,,,,,73778.5
new brunswickfrontend software engineer,new brunswick,frontend software engineer,new brunswick,frontend software engineer,,,new brunswick,frontend software engineer,77534,,70000,,,14-Dec-21,,,,73767
chicago illinoisjunior frontend developer,chicago illinois,junior frontend developer,chicago illinois,junior frontend developer,,,chicago illinois,junior frontend developer,86671,,60768,,,,,,,73719.5
chicago illinoisjunior data analyst,chicago illinois,junior data analyst,chicago illinois,junior data analyst,,,chicago illinois,junior data analyst,101493,,45940,,,,,,,73716.5
tucson arizonafrontend developer,tucson arizona,frontend developer,tucson arizona,frontend developer,tucson arizona,frontend developer,tucson arizona,frontend developer,83896,49169,88048,,,,,,,73704.33333
brunswick georgiasoftware engineer,brunswick georgia,software engineer,brunswick georgia,software engineer,brunswick georgia,software engineer,brunswick georgia,software engineer,92481,52381,76199,,,22-Feb-23,,,,73687
milwaukee wisconsincomputer programmer,milwaukee wisconsin,computer programmer,milwaukee wisconsin,computer programmer,,,milwaukee wisconsin,computer programmer,74741,,72610,,,,,,,73675.5
richardson texasweb developer,richardson texas,web developer,richardson texas,web developer,richardson texas,web developer,richardson texas,web developer,103968,50000,67058,,,19-Aug-22,,,,73675.33333
fayetteville arkansasit support engineer,fayetteville arkansas,it support engineer,fayetteville arkansas,it support engineer,fayetteville arkansas,it support engineer,,,87335,60000,,,,,,,,73667.5
winnipeg mbfrontend developer,winnipeg mb,frontend developer,winnipeg mb,frontend developer,,,winnipeg mb,frontend developer,68063,,79213,,,20-Apr-23,,,,73638
marylandnetwork specialist,maryland,network specialist,maryland,network specialist,,,maryland,network specialist,76141,,71105,,,,,,,73623
bloomington illinoisprogrammer,bloomington illinois,programmer,bloomington illinois,programmer,,,bloomington illinois,programmer,80897,,66347,,,,,,,73622
puerto ricofullstack developer,puerto rico,fullstack developer,puerto rico,fullstack developer,,,puerto rico,fullstack developer,95219,,52015,,,1-Jun-23,,,,73617
denver coloradocomputer programmer,denver colorado,computer programmer,denver colorado,computer programmer,,,denver colorado,computer programmer,72903,,74330,,,23-Jun-20,,,With two date,73616.5
mobile alabamaprogrammer,mobile alabama,programmer,mobile alabama,programmer,,,mobile alabama,programmer,86273,,60952,,,,,,,73612.5
new orleans louisianacomputer programmer,new orleans louisiana,computer programmer,new orleans louisiana,computer programmer,,,new orleans louisiana,computer programmer,76228,,70955,,,,,,,73591.5
winnipeg mbfullstack developer,winnipeg mb,fullstack developer,winnipeg mb,fullstack developer,,,winnipeg mb,fullstack developer,65893,,81135,,,19-May-23,,,,73514
riverside californiadata analyst,riverside california,data analyst,riverside california,data analyst,riverside california,data analyst,,,84339,62500,,,,,,,,73419.5
scottsdale arizonacomputer programmer,scottsdale arizona,computer programmer,scottsdale arizona,computer programmer,,,scottsdale arizona,computer programmer,74163,,72633,,,,,,,73398
rochester minnesotaphp programmer,rochester minnesota,php programmer,rochester minnesota,php programmer,,,,,89537,71000,59635,,,,,,,73390.66667
alexandria virginiajunior software engineer,alexandria virginia,junior software engineer,alexandria virginia,junior software engineer,alexandria virginia,junior software engineer,alexandria virginia,junior software engineer,85417,80000,54715,,,,,,,73377.33333
grand rapids michigansas programmer,grand rapids michigan,sas programmer,grand rapids michigan,sas programmer,grand rapids michigan,sas programmer,,,82968,63750,,,,,,,,73359
fort collins coloradogeotechnical engineer,fort collins colorado,geotechnical engineer,fort collins colorado,geotechnical engineer,,,fort collins colorado,geotechnical engineer,78057,,68652,,,2-Apr-23,,,With two date,73354.5
alexandria virginiacomputer programmer,alexandria virginia,computer programmer,alexandria virginia,computer programmer,,,alexandria virginia,computer programmer,70377,,76312,,,,,,,73344.5
vermontsenior system engineer,vermont,senior system engineer,vermont,senior system engineer,,,vermont,senior system engineer,70366,,76316,,,,,,,73341
baltimore marylandcomputer programmer,baltimore maryland,computer programmer,baltimore maryland,computer programmer,,,baltimore maryland,computer programmer,73343,,73309,,,,,,,73326
albany oregonsoftware engineer,albany oregon,software engineer,albany oregon,software engineer,albany oregon,software engineer,,,99555,47040,,,,,,,,73297.5
reno nevadacomputer programmer,reno nevada,computer programmer,reno nevada,computer programmer,,,reno nevada,computer programmer,77869,,68704,,,,,,,73286.5
portland mainesoftware engineer in test,portland maine,software engineer in test,portland maine,software engineer in test,portland maine,software engineer in test,,,71958,,74526,,,,,,,73242
alexandria virginiaweb developer,alexandria virginia,web developer,alexandria virginia,web developer,alexandria virginia,web developer,alexandria virginia,web developer,98980,69634,50986,,,20-Nov-22,,,With two date,73200
fort lauderdale floridacomputer programmer,fort lauderdale florida,computer programmer,fort lauderdale florida,computer programmer,,,fort lauderdale florida,computer programmer,73084,,73288,,,,,,,73186
galway irelandsenior software architect,galway ireland,senior software architect,galway ireland,senior software architect,,,,,78796,67563,,,,,,,,73179.5
nashville tennesseedatabase programmer,nashville tennessee,database programmer,nashville tennessee,database programmer,,,,,78228,68112,,,,,,,,73170
north carolinasas programmer,north carolina,sas programmer,north carolina,sas programmer,,,north carolina,sas programmer,82397,,63868,,,,,,,73132.5
dallas texasjunior data analyst,dallas texas,junior data analyst,dallas texas,junior data analyst,,,dallas texas,junior data analyst,84198,,62057,,,,,,,73127.5
cheyenne wyomingsoftware developer,cheyenne wyoming,software developer,cheyenne wyoming,software developer,cheyenne wyoming,software developer,,,88675,57550,,,,,,,,73112.5
detroit michiganprogrammer,detroit michigan,programmer,detroit michigan,programmer,,,detroit michigan,programmer,84683,,61495,,,,,,,73089
alexandria virginiasoftware quality assurance engineer,alexandria virginia,software quality assurance engineer,alexandria virginia,software quality assurance engineer,alexandria virginia,software quality assurance engineer,,,87676,58500,,,,,,,,73088
durham north carolinacloud engineer,durham north carolina,cloud engineer,durham north carolina,cloud engineer,,,durham north carolina,cloud engineer,126474,,19673,,,,,,,73073.5
west des moines iowaengineer manager,west des moines iowa,engineer manager,west des moines iowa,engineer manager,west des moines iowa,engineer manager,west des moines iowa,engineer manager,77827,90000,51239,,,30-Mar-23,,,,73022
south carolinasoftware developer,south carolina,software developer,south carolina,software developer,,,south carolina,software developer,98582,,47413,,,8-Jun-23,,,,72997.5
denver coloradoprincipal web developer,denver colorado,principal web developer,denver colorado,principal web developer,,,,,94175,51807,,,,,,,,72991
reno nevadaweb developer,reno nevada,web developer,reno nevada,web developer,reno nevada,web developer,reno nevada,web developer,99544,58429,60991,,,,,,,72988
mainejunior java developer,maine,junior java developer,maine,junior java developer,,,maine,junior java developer,78743,,67143,,,,,,,72943
melbourne floridaweb developer,melbourne florida,web developer,melbourne florida,web developer,,,melbourne florida,web developer,82326,,63478,,,,,,,72902
san antonio texasprogrammer,san antonio texas,programmer,san antonio texas,programmer,,,san antonio texas,programmer,78177,,67478,,,,,,,72827.5
spokane valley washingtonengineer manager,spokane valley washington,engineer manager,spokane valley washington,engineer manager,,,spokane valley washington,engineer manager,78437,,67070,,,,,,,72753.5
dayton ohioweb developer,dayton ohio,web developer,dayton ohio,web developer,dayton ohio,web developer,dayton ohio,web developer,92608,62168,63431,,,,,,,72735.66667
greensboro north carolinait support engineer,greensboro north carolina,it support engineer,greensboro north carolina,it support engineer,greensboro north carolina,it support engineer,,,83594,61800,,,,,,,,72697
louisville kentuckycomputer programmer,louisville kentucky,computer programmer,louisville kentucky,computer programmer,,,louisville kentucky,computer programmer,79727,,65626,,,,,,,72676.5
topeka kansascomputer programmer,topeka kansas,computer programmer,topeka kansas,computer programmer,,,topeka kansas,computer programmer,71279,,74012,,,16-Nov-22,,,With two date,72645.5
elkhart indianasoftware engineer,elkhart indiana,software engineer,elkhart indiana,software engineer,elkhart indiana,software engineer,elkhart indiana,software engineer,74884,64964,78029,,,25-Apr-23,,,,72625.66667
warner robins georgiajunior software engineer,warner robins georgia,junior software engineer,warner robins georgia,junior software engineer,,,,,83483,61706,,,,,,,,72594.5
fort worth texascomputer programmer,fort worth texas,computer programmer,fort worth texas,computer programmer,,,fort worth texas,computer programmer,73746,,71425,15-Sep-22,,,,,,72585.5
idahojunior java developer,idaho,junior java developer,idaho,junior java developer,,,idaho,junior java developer,72115,,73045,,,,,,,72580
colorado springs coloradoit support engineer,colorado springs colorado,it support engineer,colorado springs colorado,it support engineer,colorado springs colorado,it support engineer,colorado springs colorado,it support engineer,90577,54000,73124,,,,,,,72567
raleigh north carolinacomputer programmer,raleigh north carolina,computer programmer,raleigh north carolina,computer programmer,,,raleigh north carolina,computer programmer,81601,,63434,,,,,,,72517.5
delawaredata engineer,delaware,data engineer,delaware,data engineer,,,delaware,data engineer,79694,,65286,,,,,,,72490
marylandjunior frontend developer,maryland,junior frontend developer,maryland,junior frontend developer,,,maryland,junior frontend developer,78835,,66130,,,,,,,72482.5
bellevue washingtonit support engineer,bellevue washington,it support engineer,bellevue washington,it support engineer,bellevue washington,it support engineer,bellevue washington,it support engineer,87364,55000,75044,,,,,,,72469.33333
ohiojunior engineer manager,ohio,junior engineer manager,ohio,junior engineer manager,,,ohio,junior engineer manager,81232,,63650,,,16-May-23,,,,72441
washington district of columbiajunior frontend developer,washington district of columbia,junior frontend developer,washington district of columbia,junior frontend developer,,,washington district of columbia,junior frontend developer,75170,,69678,,,,,,,72424
idaho falls idahosenior systems engineer,idaho falls idaho,senior systems engineer,idaho falls idaho,senior systems engineer,idaho falls idaho,senior systems engineer,,,83399,61391,,,,,,,,72395
portland oregoncomputer programmer,portland oregon,computer programmer,portland oregon,computer programmer,,,portland oregon,computer programmer,69379,,75355,,,,,,,72367
fort collins coloradocomputer programmer,fort collins colorado,computer programmer,fort collins colorado,computer programmer,,,fort collins colorado,computer programmer,71520,,73191,,,,,,,72355.5
connecticutcomputer programmer,connecticut,computer programmer,connecticut,computer programmer,,,connecticut,computer programmer,73936,,70768,,,,,,,72352
baton rouge louisianaprogrammer,baton rouge louisiana,programmer,baton rouge louisiana,programmer,,,baton rouge louisiana,programmer,83112,,61591,,,,,,,72351.5
birmingham alabamacomputer programmer,birmingham alabama,computer programmer,birmingham alabama,computer programmer,,,birmingham alabama,computer programmer,74573,,69986,,,,,,,72279.5
rochester new yorkit support engineer,rochester new york,it support engineer,rochester new york,it support engineer,rochester new york,it support engineer,rochester new york,it support engineer,94574,52149,70090,,,,,,,72271
indianacyber security engineer,indiana,cyber security engineer,indiana,cyber security engineer,,,indiana,cyber security engineer,85590,,58834,,,,,,,72212
littleton coloradoit support engineer,littleton colorado,it support engineer,littleton colorado,it support engineer,littleton colorado,it support engineer,,,84414,60000,,,,,,,,72207
hawaiijunior software developer,hawaii,junior software developer,hawaii,junior software developer,,,hawaii,junior software developer,86915,,57446,,,,,,,72180.5
baltimore marylandjunior frontend developer,baltimore maryland,junior frontend developer,baltimore maryland,junior frontend developer,,,baltimore maryland,junior frontend developer,80142,,64026,,,23-May-19,,,,72084
greensboro north carolinaplc programmer,greensboro north carolina,plc programmer,greensboro north carolina,plc programmer,,,greensboro north carolina,plc programmer,68727,,75435,,,,,,,72081
fresno californiaweb developer,fresno california,web developer,fresno california,web developer,fresno california,web developer,fresno california,web developer,97029,57500,61711,,,,,,,72080
memphis tennesseecomputer programmer,memphis tennessee,computer programmer,memphis tennessee,computer programmer,,,memphis tennessee,computer programmer,70753,,73353,,,13-Jan-22,,,,72053
alaska.net developer,alaska,.net developer,alaska,.net developer,,,alaska,.net developer,91593,,52462,,,8-Oct-22,,,With two date,72027.5
floridafullstack java developer,florida,fullstack java developer,florida,fullstack java developer,,,,,85536,52985,77517,,,,,,,72012.66667
spokane washingtonweb developer,spokane washington,web developer,spokane washington,web developer,spokane washington,web developer,spokane washington,web developer,94878,55000,66107,,,20-Jan-23,,,,71995
toronto ontariobioinformatics programmer,toronto ontario,bioinformatics programmer,toronto ontario,bioinformatics programmer,,,,,74812,66000,75004,,,,,,,71938.66667
des moines iowacomputer programmer,des moines iowa,computer programmer,des moines iowa,computer programmer,,,des moines iowa,computer programmer,71609,,72252,,,,,,,71930.5
vermontjunior java developer,vermont,junior java developer,vermont,junior java developer,,,vermont,junior java developer,78455,65367,,,,,,,,71911
rhode islandit support engineer,rhode island,it support engineer,rhode island,it support engineer,,,rhode island,it support engineer,85849,,57930,,,,,,,71889.5
frisco texasjunior engineer manager,frisco texas,junior engineer manager,frisco texas,junior engineer manager,,,frisco texas,junior engineer manager,67617,,76117,,,,,,,71867
lincoln nebraskafullstack developer,lincoln nebraska,fullstack developer,lincoln nebraska,fullstack developer,,,lincoln nebraska,fullstack developer,86731,,57000,,,,,,,71865.5
north dakotajunior engineer manager,north dakota,junior engineer manager,north dakota,junior engineer manager,,,north dakota,junior engineer manager,87039,,56675,,,22-Apr-23,,,,71857
tallahassee floridasoftware quality assurance engineer,tallahassee florida,software quality assurance engineer,tallahassee florida,software quality assurance engineer,tallahassee florida,software quality assurance engineer,,,91191,52500,,,,,,,,71845.5
casper wyomingtechnical lead,casper wyoming,technical lead,casper wyoming,technical lead,casper wyoming,technical lead,,,86128,57500,,,,,,,,71814
indianasenior security engineer,indiana,senior security engineer,indiana,senior security engineer,,,indiana,senior security engineer,84775,,58834,,,13-Mar-23,,,,71804.5
lexington kentuckyweb developer,lexington kentucky,web developer,lexington kentucky,web developer,lexington kentucky,web developer,lexington kentucky,web developer,100939,53976,60466,,,10-Mar-22,,,,71793.66667
south dakotainformation technology manager,south dakota,information technology manager,south dakota,information technology manager,,,south dakota,information technology manager,75507,,68079,,,9-Jun-23,,,,71793
charlotte north carolinajunior web developer,charlotte north carolina,junior web developer,charlotte north carolina,junior web developer,,,,,97190,73784,44373,,,,,,,71782.33333
frisco texasweb developer,frisco texas,web developer,frisco texas,web developer,frisco texas,web developer,frisco texas,web developer,99796,49920,65597,,,,,,,71771
bloomington indianait support engineer,bloomington indiana,it support engineer,bloomington indiana,it support engineer,bloomington indiana,it support engineer,,,86136,57391,,,,,,,,71763.5
austin texasjunior frontend developer,austin texas,junior frontend developer,austin texas,junior frontend developer,,,austin texas,junior frontend developer,73245,,70274,15-Sep-22,,,,,,71759.5
atlanta georgiaplc programmer,atlanta georgia,plc programmer,atlanta georgia,plc programmer,,,atlanta georgia,plc programmer,71122,,72393,,,,,,,71757.5
chattanooga tennesseeprogrammer,chattanooga tennessee,programmer,chattanooga tennessee,programmer,,,chattanooga tennessee,programmer,79758,,63755,,,,,,,71756.5
ottawa ontariojunior data engineer,ottawa ontario,junior data engineer,ottawa ontario,junior data engineer,,,ottawa ontario,junior data engineer,90952,,52441,,,,,,,71696.5
spokane washingtonapplication developer,spokane washington,application developer,spokane washington,application developer,spokane washington,application developer,,,90392,53000,,,,,,,,71696
nashville tennesseecomputer programmer,nashville tennessee,computer programmer,nashville tennessee,computer programmer,,,nashville tennessee,computer programmer,78562,,64757,,,26-Sep-21,,,With two date,71659.5
knoxville tennesseejunior engineer manager,knoxville tennessee,junior engineer manager,knoxville tennessee,junior engineer manager,,,knoxville tennessee,junior engineer manager,81287,,61892,,,24-Apr-23,,,,71589.5
ottawa ontariojunior frontend developer,ottawa ontario,junior frontend developer,ottawa ontario,junior frontend developer,,,ottawa ontario,junior frontend developer,80681,,62472,,,,,,,71576.5
fort collins coloradoweb developer,fort collins colorado,web developer,fort collins colorado,web developer,fort collins colorado,web developer,fort collins colorado,web developer,89328,60007,65346,,,8-Mar-23,,,,71560.33333
eugene oregonsoftware engineer intern,eugene oregon,software engineer intern,eugene oregon,software engineer intern,eugene oregon,software engineer intern,,,71560,71528,,,,,,,,71544
overland park kansasfrontend developer,overland park kansas,frontend developer,overland park kansas,frontend developer,overland park kansas,frontend developer,,,79625,63434,,,,,,,,71529.5
louisianaapplication developer,louisiana,application developer,louisiana,application developer,,,louisiana,application developer,85670,,57375,,,8-Jun-23,,,,71522.5
new zealandapplication developer,new zealand,application developer,new zealand,application developer,,,new zealand,application developer,76000,,67000,,,,,,,71500
austin texascomputer programmer,austin texas,computer programmer,austin texas,computer programmer,,,austin texas,computer programmer,75333,,67660,,,,,,,71496.5
los angeles californiajunior data engineer,los angeles california,junior data engineer,los angeles california,junior data engineer,,,los angeles california,junior data engineer,92657,,50282,,,,,,,71469.5
jacksonville floridasoftware engineer in test,jacksonville florida,software engineer in test,jacksonville florida,software engineer in test,,,jacksonville florida,software engineer in test,73517,,69416,,,14-Oct-22,,,,71466.5
iowasoftware architect,iowa,software architect,iowa,software architect,,,iowa,software architect,77820,,65000,,,21-Dec-19,,,,71410
kansas city missouriit support engineer,kansas city missouri,it support engineer,kansas city missouri,it support engineer,kansas city missouri,it support engineer,kansas city missouri,it support engineer,86109,59781,68224,,,24-Apr-23,,,,71371.33333
west palm beach floridajunior engineer manager,west palm beach florida,junior engineer manager,west palm beach florida,junior engineer manager,,,west palm beach florida,junior engineer manager,92988,,49752,,,,,,,71370
nashville tennesseejunior frontend developer,nashville tennessee,junior frontend developer,nashville tennessee,junior frontend developer,,,nashville tennessee,junior frontend developer,79235,,63475,,,,,,,71355
iowa city iowaweb developer,iowa city iowa,web developer,iowa city iowa,web developer,,,iowa city iowa,web developer,95753,,46935,,,,,,,71344
tulsa oklahomait support engineer,tulsa oklahoma,it support engineer,tulsa oklahoma,it support engineer,tulsa oklahoma,it support engineer,,,83202,59450,,,,,,,,71326
