locationjob,date,location,job,salary,two_date
chevy chase marylandsenior engineer,,chevy chase maryland,senior engineer,"123,718",
bentonville arkansaspsychologist,,bentonville arkansas,psychologist,"123,710",
palm beach floridasystems administrator,,palm beach florida,systems administrator,"123,706",
san jose californiadata analyst,27-Apr-23,san jose california,data analyst,"123,692",
oregonsenior java developer,,oregon,senior java developer,"123,687",
oklahomasenior data scientist,,oklahoma,senior data scientist,"123,678",
oklahoma city oklahomasite reliability engineer,,oklahoma city oklahoma,site reliability engineer,"123,668",
kansas city missourisenior java developer,27-Apr-23,kansas city missouri,senior java developer,"123,663",With two date
new yorksenior engineer,,new york,senior engineer,"123,663",
phoenix arizonasoftware test engineer,,phoenix arizona,software test engineer,"123,659",
sacramento californiait developer,22-Apr-23,sacramento california,it developer,"123,659",
californiasoftware test engineer,13-Jun-23,california,software test engineer,"123,658",With two date
chantilly virginiasenior security engineer,,chantilly virginia,senior security engineer,"123,647",
milwaukee wisconsinsolutions architect,,milwaukee wisconsin,solutions architect,"123,647",
milwaukee wisconsinsoftware architect,,milwaukee wisconsin,software architect,"123,647",
minnesotasenior java developer,,minnesota,senior java developer,"123,635",
phoenix arizonatechnical lead,,phoenix arizona,technical lead,"123,618",
virginia beach virginiachief technology officer,,virginia beach virginia,chief technology officer,"123,608",
sydney nswfrontend software engineer,17-Oct-21,sydney nsw,frontend software engineer,"123,598",With two date
elgin illinoisengineer manager,,elgin illinois,engineer manager,"123,595",
worcester massachusettsfrontend developer,,worcester massachusetts,frontend developer,"123,591",
chesterfield missourifrontend developer,,chesterfield missouri,frontend developer,"123,590",
arlington virginiaclinical psychologist,14-Apr-23,arlington virginia,clinical psychologist,"123,589",
virginia beach virginiasenior engineer,,virginia beach virginia,senior engineer,"123,587",
new mexicosite reliability engineer,,new mexico,site reliability engineer,"123,570",
dublin californiadata engineer,,dublin california,data engineer,"123,558",
wisconsindata scientist,6-Jun-23,wisconsin,data scientist,"123,555",With two date
brisbane qldcloud engineer,23-May-23,brisbane qld,cloud engineer,"123,553",With two date
baltimore marylandphysician,8-Jun-23,baltimore maryland,physician,"123,551",With two date
tennesseecloud engineer,5-Jun-23,tennessee,cloud engineer,"123,550",
waltham massachusettsmobile developer,,waltham massachusetts,mobile developer,"123,540",
stamford connecticutdata scientist,24-Apr-23,stamford connecticut,data scientist,"123,537",With two date
vancouver bcsenior web developer,,vancouver bc,senior web developer,"123,535",
british columbiasenior web developer,,british columbia,senior web developer,"123,535",
alaskacloud engineer,15-Mar-23,alaska,cloud engineer,"123,525",
massachusettseconomist,18-May-23,massachusetts,economist,"123,524",With two date
rochester new yorksite reliability engineer,,rochester new york,site reliability engineer,"123,521",
dallas texasoptometrist,26-Apr-23,dallas texas,optometrist,"123,517",With two date
thesolar consultant,27-May-23,the,solar consultant,"123,514",With two date
cleveland ohiosoftware developer,,cleveland ohio,software developer,"123,514",
manhattan new yorkios developer,,manhattan new york,ios developer,"123,511",
minneapolis minnesotaeconomist,27-Oct-20,minneapolis minnesota,economist,"123,509",
new hampshireprincipal technical lead,,new hampshire,principal technical lead,"123,495",
kearney nebraskasenior engineering manager,,kearney nebraska,senior engineering manager,"123,490",
boulder coloradopsychologist,,boulder colorado,psychologist,"123,488",
miami floridasenior system engineer,24-Apr-23,miami florida,senior system engineer,"123,485",
alpharetta georgiasenior java developer,,alpharetta georgia,senior java developer,"123,481",
indianaveterinarian,3-May-23,indiana,veterinarian,"123,476",
marietta georgiaprincipal technical lead,,marietta georgia,principal technical lead,"123,472",
pleasanton californiamobile developer,,pleasanton california,mobile developer,"123,472",
tulsa oklahomasenior application developer,,tulsa oklahoma,senior application developer,"123,471",
norfolk virginiadata scientist,7-Jun-23,norfolk virginia,data scientist,"123,463",
tukwila washingtonsenior engineer,,tukwila washington,senior engineer,"123,457",
iowasite reliability engineer,,iowa,site reliability engineer,"123,453",
canadasenior data analyst,27-May-23,canada,senior data analyst,"123,442",With two date
irvine californiafinancial controller,,irvine california,financial controller,"123,430",
wichita kansasprincipal software engineer,,wichita kansas,principal software engineer,"123,429",
milpitas californiasystems administrator,,milpitas california,systems administrator,"123,429",
knoxville tennesseeprincipal software engineer,7-Jan-22,knoxville tennessee,principal software engineer,"123,428",
lakeland floridasenior engineer,,lakeland florida,senior engineer,"123,428",
ashburn virginiajunior director of engineering,,ashburn virginia,junior director of engineering,"123,427",
scottsdale arizonasenior java developer,,scottsdale arizona,senior java developer,"123,425",
oklahomatechnical lead,,oklahoma,technical lead,"123,424",
west virginiapsychiatric nurse,,west virginia,psychiatric nurse,"123,423",
big sky montanaengineer manager,14-Jun-22,big sky montana,engineer manager,"123,420",With two date
georgiaveterinarian,15-Jun-23,georgia,veterinarian,"123,418",
tulsa oklahomasoftware manager,16-Feb-23,tulsa oklahoma,software manager,"123,416",
norfolk virginiavice president of engineering,,norfolk virginia,vice president of engineering,"123,413",
aurora illinoissenior software developer,,aurora illinois,senior software developer,"123,405",
raleigh north carolinasenior system engineer,18-Nov-22,raleigh north carolina,senior system engineer,"123,403",
seattle washingtonuser experience designer,26-May-23,seattle washington,user experience designer,"123,394",
fairfax virginiasolutions architect,19-Feb-23,fairfax virginia,solutions architect,"123,393",
seattle washingtonprofessor,16-Apr-23,seattle washington,professor,"123,393",With two date
north charleston south carolinacloud engineer,,north charleston south carolina,cloud engineer,"123,391",
englewood coloradosenior java developer,,englewood colorado,senior java developer,"123,387",
birmingham alabamasoftware architect,,birmingham alabama,software architect,"123,385",
austin texasoptometrist,,austin texas,optometrist,"123,383",
richmond virginiasolutions architect,,richmond virginia,solutions architect,"123,382",
mississippiutilization review nurse,13-May-23,mississippi,utilization review nurse,"123,381",
tustin californiadata engineer,,tustin california,data engineer,"123,379",
san francisco californiafrontend software engineer,28-May-23,san francisco california,frontend software engineer,"123,371",
