locationjob,date,location,job,salary,two_date
sioux falls south dakotabuyer,25-Jan-23,sioux falls south dakota,buyer,"53,126",
san antonio texasbiomedical technician,17-Apr-23,san antonio texas,biomedical technician,"53,125",With two date
oklahomapilot,10-Dec-22,oklahoma,pilot,"53,124",
kentuckyservice advisor,6-Apr-23,kentucky,service advisor,"53,123",
toronto ontariohuman resources coordinator,11-Jun-23,toronto ontario,human resources coordinator,"53,120",
suffolk virginiachief technology officer,24-Apr-23,suffolk virginia,chief technology officer,"53,118",
edmonton abarchitectural intern,,edmonton ab,architectural intern,"53,115",
kansasfirefighter,12-Jun-23,kansas,firefighter,"53,115",With two date
ottawa ontariocontract specialist,25-May-23,ottawa ontario,contract specialist,"53,111",
kentuckyguidance counselor,11-May-23,kentucky,guidance counselor,"53,110",With two date
texasfirefighter,15-Jun-23,texas,firefighter,"53,110",
fort worth texasdeputy sheriff,19-Sep-18,fort worth texas,deputy sheriff,"53,109",
pennsylvaniasocial worker,15-Jun-23,pennsylvania,social worker,"53,109",
washington missouripurchasing agent,,washington missouri,purchasing agent,"53,109",
albuquerque new mexicoaccountant,,albuquerque new mexico,accountant,"53,102",
albertamanagement trainee,8-Jun-23,alberta,management trainee,"53,101",
canadabilling specialist,13-Jun-23,canada,billing specialist,"53,094",
waterloo ontariosenior internal auditor,,waterloo ontario,senior internal auditor,"53,088",
naples floridaapplication developer,,naples florida,application developer,"53,083",
winnipeg mbimmigration consultant,24-Feb-23,winnipeg mb,immigration consultant,"53,081",
manitobaimmigration consultant,24-Feb-23,manitoba,immigration consultant,"53,081",
pittsburgh pennsylvaniaschool psychologist,12-Apr-23,pittsburgh pennsylvania,school psychologist,"53,079",
boston massachusettsloan processor,1-Dec-22,boston massachusetts,loan processor,"53,078",With two date
new brunswicklineperson,6-Jun-23,new brunswick,lineperson,"53,075",With two date
denver coloradovocational rehabilitation counselor,,denver colorado,vocational rehabilitation counselor,"53,072",
rochester new yorkmortgage processor,29-Mar-22,rochester new york,mortgage processor,"53,071",
hudson new hampshirejunior software engineer,,hudson new hampshire,junior software engineer,"53,070",
quebec provincehome inspector,6-Oct-22,quebec province,home inspector,"53,062",With two date
puerto ricomortgage underwriter,11-Jan-22,puerto rico,mortgage underwriter,"53,062",
las vegas nevadaseo specialist,20-Mar-23,las vegas nevada,seo specialist,"53,062",With two date
west warwick rhode islandchief technology officer,22-Jan-23,west warwick rhode island,chief technology officer,"53,057",With two date
omaha nebraskajunior data analyst,,omaha nebraska,junior data analyst,"53,049",
lansing michiganhuman resources specialist,18-May-23,lansing michigan,human resources specialist,"53,041",With two date
charleston south carolinasous chef,27-May-23,charleston south carolina,sous chef,"53,040",
ottawa ontarioaccounts payable specialist,3-Apr-23,ottawa ontario,accounts payable specialist,"53,039",With two date
wichita kansasapplication developer,,wichita kansas,application developer,"53,035",With two date
texasspecial education teacher,15-Jun-23,texas,special education teacher,"53,029",
south carolinapublic defender,15-Jun-23,south carolina,public defender,"53,029",With two date
albertainsurance advisor,26-May-23,alberta,insurance advisor,"53,029",
shawnee oklahomasoftware engineer,4-Mar-21,shawnee oklahoma,software engineer,"53,025",
brampton ontarioproject coordinator,9-Jun-23,brampton ontario,project coordinator,"53,025",
cleveland ohioseo specialist,17-Nov-22,cleveland ohio,seo specialist,"53,018",With two date
denver coloradomathematics teacher,4-Feb-22,denver colorado,mathematics teacher,"53,016",
west palm beach floridafinancial advisor,24-Apr-23,west palm beach florida,financial advisor,"53,014",
boston massachusettsclient relations specialist,19-May-23,boston massachusetts,client relations specialist,"53,009",
nevadafirefighter,12-Jun-23,nevada,firefighter,"53,006",With two date
hartford connecticutsocial worker,3-Jun-23,hartford connecticut,social worker,"53,001",With two date
hawaiipetroleum supply specialist,,hawaii,petroleum supply specialist,"53,000",
annapolis marylandsoftware engineer,10-Jan-20,annapolis maryland,software engineer,"53,000",
miami floridalogistics supervisor,,miami florida,logistics supervisor,"52,994",
calgary abproducer,5-Jun-23,calgary ab,producer,"52,994",With two date
virginiaparalegal,15-Jun-23,virginia,paralegal,"52,991",
ann arbor michiganbiomedical equipment technician,,ann arbor michigan,biomedical equipment technician,"52,991",
martinsburg west virginiasystems administrator,,martinsburg west virginia,systems administrator,"52,989",
north york ontariohuman resources coordinator,9-May-23,north york ontario,human resources coordinator,"52,987",
ontario californiasuperintendent,15-Jun-23,ontario california,superintendent,"52,983",
massachusettshome inspector,22-Apr-23,massachusetts,home inspector,"52,982",
south carolinamarketing specialist,12-Jun-23,south carolina,marketing specialist,"52,981",
saskatchewanclaims adjuster,25-Apr-23,saskatchewan,claims adjuster,"52,981",
new mexicoaccountant,12-Jun-23,new mexico,accountant,"52,972",
saint john nbproject coordinator,21-Feb-23,saint john nb,project coordinator,"52,972",With two date
kansas city missourisocial worker,8-May-23,kansas city missouri,social worker,"52,968",With two date
tulsa oklahomapastor,26-May-23,tulsa oklahoma,pastor,"52,967",
glastonbury connecticutsoftware developer,,glastonbury connecticut,software developer,"52,966",
lexington kentuckysales specialist,,lexington kentucky,sales specialist,"52,962",
tucson arizonaservice advisor,27-Feb-23,tucson arizona,service advisor,"52,961",
tulsa oklahomamarketing specialist,4-May-23,tulsa oklahoma,marketing specialist,"52,959",
richmond virginiarecruiter,18-Apr-23,richmond virginia,recruiter,"52,958",With two date
hamtramck michiganchief technology officer,27-Apr-23,hamtramck michigan,chief technology officer,"52,957",
tennessee colony texaschief operating officer,3-Jun-23,tennessee colony texas,chief operating officer,"52,949",
overland park kansasprincipal development operations engineer,,overland park kansas,principal development operations engineer,"52,939",
houston texasit coordinator,22-May-23,houston texas,it coordinator,"52,937",
littleton coloradouser interface designer,,littleton colorado,user interface designer,"52,937",
utahdeputy sheriff,25-Oct-22,utah,deputy sheriff,"52,936",
honolulu hawaiiunderwriter,7-Jun-23,honolulu hawaii,underwriter,"52,934",
calgary abjunior systems administrator,2-Mar-22,calgary ab,junior systems administrator,"52,933",
virginia beach virginiaindependent consultant,,virginia beach virginia,independent consultant,"52,928",
theretention specialist,13-Jun-23,the,retention specialist,"52,925",With two date
omaha nebraskahuman resources generalist,,omaha nebraska,human resources generalist,"52,921",
grand prairie texassenior engineering manager,1-Nov-22,grand prairie texas,senior engineering manager,"52,915",
orlando floridamidwife,16-May-22,orlando florida,midwife,"52,912",
cincinnati ohiohuman resources specialist,21-May-23,cincinnati ohio,human resources specialist,"52,905",
rochester new yorkmilitary police,31-Aug-22,rochester new york,military police,"52,899",
toronto ontariopr specialist,4-Feb-23,toronto ontario,pr specialist,"52,896",
richmond virginiajunior data analyst,4-Apr-23,richmond virginia,junior data analyst,"52,894",
san antonio texasarchitectural designer,30-Mar-23,san antonio texas,architectural designer,"52,894",
norfolk virginialogistics specialist,17-May-23,norfolk virginia,logistics specialist,"52,892",With two date
vancouver island bcchief operating officer,,vancouver island bc,chief operating officer,"52,890",
virginia beach virginiatraining coordinator,1-Dec-22,virginia beach virginia,training coordinator,"52,881",With two date
oklahomamarketing specialist,24-Apr-23,oklahoma,marketing specialist,"52,881",
winnipeg mbbenefit specialist,1-May-23,winnipeg mb,benefit specialist,"52,875",
missourispecial education teacher,13-Jun-23,missouri,special education teacher,"52,875",With two date
michiganpurchasing agent,9-May-23,michigan,purchasing agent,"52,874",
floridacommunication specialist,6-Jun-23,florida,communication specialist,"52,869",
north carolinaexecut4e assistant,13-Jun-23,north carolina,execut4e assistant,"52,867",
coloradoliaison,17-Dec-22,colorado,liaison,"52,865",
knoxville tennesseesocial worker,20-May-23,knoxville tennessee,social worker,"52,864",
stcomputer programmer,,st,computer programmer,"52,859",
dallas texasmarketing consultant,,dallas texas,marketing consultant,"52,857",
boise idahosous chef,24-Apr-23,boise idaho,sous chef,"52,856",
san jose californialoan specialist,24-Mar-22,san jose california,loan specialist,"52,854",With two date
idahoprogrammer,,idaho,programmer,"52,851",
lexington kentuckyjunior senior engineer,,lexington kentucky,junior senior engineer,"52,842",
sunbury pennsylvaniachief technology officer,2-Jul-19,sunbury pennsylvania,chief technology officer,"52,838",
chattanooga tennesseelitigation paralegal,,chattanooga tennessee,litigation paralegal,"52,835",
kentuckyspecial education teacher,31-Mar-23,kentucky,special education teacher,"52,832",
burnaby bcanalytical chemist,4-May-23,burnaby bc,analytical chemist,"52,824",
nebraskaexecut4e assistant,6-Jun-23,nebraska,execut4e assistant,"52,818",
missourisocial worker,15-Jun-23,missouri,social worker,"52,816",
south carolinatraining specialist,6-Jun-23,south carolina,training specialist,"52,812",
denver coloradoindependent consultant,16-May-21,denver colorado,independent consultant,"52,812",
baltimore marylandrelocation specialist,,baltimore maryland,relocation specialist,"52,812",
mustang oklahomasoftware manager,6-Feb-23,mustang oklahoma,software manager,"52,807",
oakland californiaparalegal,26-Apr-23,oakland california,paralegal,"52,807",
british columbiaprior authorization specialist,,british columbia,prior authorization specialist,"52,803",
san marcos texaschief technology officer,17-Mar-23,san marcos texas,chief technology officer,"52,803",With two date
truckee californiaengineer manager,,truckee california,engineer manager,"52,800",
vancouver bcsap consultant,25-Apr-23,vancouver bc,sap consultant,"52,797",
bloomington indianadata analyst,6-Jun-23,bloomington indiana,data analyst,"52,794",
virginia beach virginiascience teacher,23-Nov-22,virginia beach virginia,science teacher,"52,794",
quebec provinceparalegal,,quebec province,paralegal,"52,788",
alabamaappraiser,28-Dec-22,alabama,appraiser,"52,783",
nebraskaappraiser,,nebraska,appraiser,"52,783",
richmond virginiahigh school teacher,18-Nov-22,richmond virginia,high school teacher,"52,781",With two date
pennsylvaniamarketing specialist,12-Jun-23,pennsylvania,marketing specialist,"52,781",With two date
fort wayne indianasous chef,12-Mar-23,fort wayne indiana,sous chef,"52,780",
mobile alabamapurchasing agent,18-Jul-22,mobile alabama,purchasing agent,"52,780",
albertalogistic coordinator,,alberta,logistic coordinator,"52,778",
vermontforester,,vermont,forester,"52,774",
overland park kansasmortgage processor,,overland park kansas,mortgage processor,"52,770",
texascommunication specialist,13-Jun-23,texas,communication specialist,"52,770",With two date
san clemente californiaprincipal technical lead,,san clemente california,principal technical lead,"52,766",
tallahassee floridaparalegal,27-Mar-23,tallahassee florida,paralegal,"52,764",With two date
chattanooga tennesseejunior engineer manager,4-Sep-22,chattanooga tennessee,junior engineer manager,"52,759",
winnipeg mbpediatrician,10-May-23,winnipeg mb,pediatrician,"52,756",With two date
north carolinasous chef,27-May-23,north carolina,sous chef,"52,756",With two date
berkeley californialecturer,16-May-23,berkeley california,lecturer,"52,755",
texasepidemiologist,9-Jun-23,texas,epidemiologist,"52,751",With two date
jersey city new jerseyparalegal,6-Apr-23,jersey city new jersey,paralegal,"52,750",
oklahomaparalegal,13-Jun-23,oklahoma,paralegal,"52,749",With two date
fort myers floridaparalegal,22-May-23,fort myers florida,paralegal,"52,747",
cleveland ohioinside sales representat4e,23-Apr-23,cleveland ohio,inside sales representat4e,"52,733",With two date
brooklyn new yorkjunior software architect,26-May-23,brooklyn new york,junior software architect,"52,731",
vancouver island bcmarketing specialist,9-Sep-22,vancouver island bc,marketing specialist,"52,715",With two date
"winnipeg mbsource tooltip for average base salary. 3 salaries reported, updated ",,winnipeg mb,"source tooltip for average base salary. 3 salaries reported, updated ","52,715",
cincinnati ohioproduct specialist,,cincinnati ohio,product specialist,"52,713",With two date
los angeles californiagrant writer,8-Jun-23,los angeles california,grant writer,"52,709",
virginia beach virginiainsurance agent,17-Apr-23,virginia beach virginia,insurance agent,"52,707",
chicago illinoisinsurance producer,26-May-23,chicago illinois,insurance producer,"52,703",With two date
hilo hawaiiengineer manager,26-Apr-23,hilo hawaii,engineer manager,"52,702",
san antonio texasadjuster,2-Jun-23,san antonio texas,adjuster,"52,701",With two date
north carolinafreight broker,27-May-23,north carolina,freight broker,"52,699",With two date
dallas texastattoo artist,2-Feb-23,dallas texas,tattoo artist,"52,699",
vermontinsurance agent,30-Mar-23,vermont,insurance agent,"52,693",
north richland hills texasinterior designer,23-Sep-22,north richland hills texas,interior designer,"52,692",
tampa floridacustomer service supervisor,7-Mar-23,tampa florida,customer service supervisor,"52,690",
kentuckygeologist,,kentucky,geologist,"52,680",
detroit michiganguidance counselor,20-Jan-23,detroit michigan,guidance counselor,"52,677",
san antonio texasprocurement specialist,11-May-23,san antonio texas,procurement specialist,"52,672",
winnipeg mbparalegal,13-Jun-23,winnipeg mb,paralegal,"52,670",With two date
manitobaparalegal,4-May-23,manitoba,paralegal,"52,670",
new york new yorkvisual designer,,new york new york,visual designer,"52,667",
cincinnati ohiomarketing specialist,30-Apr-23,cincinnati ohio,marketing specialist,"52,666",
oklahoma city oklahomacareer counselor,10-Oct-22,oklahoma city oklahoma,career counselor,"52,664",With two date
texasschool psychologist,15-Jun-23,texas,school psychologist,"52,659",With two date
el paso texashealthcare recruiter,25-Oct-22,el paso texas,healthcare recruiter,"52,658",
michigancertified debt specialist,,michigan,certified debt specialist,"52,658",
wisconsinspecial education teacher,12-Jun-23,wisconsin,special education teacher,"52,657",
north york ontariosenior member of technical,,north york ontario,senior member of technical,"52,653",
ontario californiabilling specialist,,ontario california,billing specialist,"52,653",
portland oregonlogistics specialist,17-Mar-23,portland oregon,logistics specialist,"52,651",With two date
fort lauderdale floridahigh school teacher,16-Apr-23,fort lauderdale florida,high school teacher,"52,649",
tempe arizonarecruiter,6-Jun-23,tempe arizona,recruiter,"52,647",
themusician,15-Jun-23,the,musician,"52,647",With two date
kansas city missouriloan processor,13-May-23,kansas city missouri,loan processor,"52,644",
vancouver bcpurchaser,3-Jun-23,vancouver bc,purchaser,"52,642",
cornwall ontarioinformation technology manager,,cornwall ontario,information technology manager,"52,642",
wichita kansastax specialist,,wichita kansas,tax specialist,"52,637",
abbotsford bcdata analyst,,abbotsford bc,data analyst,"52,636",
albany georgiasenior engineer,7-Aug-21,albany georgia,senior engineer,"52,631",
plano texasmathematics teacher,,plano texas,mathematics teacher,"52,630",
saskatchewantow truck dr4er,3-Jun-23,saskatchewan,tow truck dr4er,"52,625",
irvine californiaimplementation specialist,,irvine california,implementation specialist,"52,623",
long beach californiafinancial consultant,,long beach california,financial consultant,"52,609",
miami floridarecruitment consultant,25-Apr-23,miami florida,recruitment consultant,"52,609",
plano texashigh school teacher,,plano texas,high school teacher,"52,607",
dallas texasaccount coordinator,25-Apr-23,dallas texas,account coordinator,"52,590",With two date
michigantraining coordinator,27-Apr-23,michigan,training coordinator,"52,589",
nova scotiahuman resources coordinator,24-May-23,nova scotia,human resources coordinator,"52,587",With two date
floridalicensing specialist,26-May-23,florida,licensing specialist,"52,586",
fairfax virginiamarketing specialist,,fairfax virginia,marketing specialist,"52,583",
new brunswickaccounts rece4able clerk,11-May-23,new brunswick,accounts rece4able clerk,"52,581",With two date
frisco coloradochief technology officer,,frisco colorado,chief technology officer,"52,579",
albertainsurance broker,8-Jun-23,alberta,insurance broker,"52,577",
eau claire wisconsinproduction supervisor,,eau claire wisconsin,production supervisor,"52,576",
indianapolis indianaproduct specialist,,indianapolis indiana,product specialist,"52,570",
austin texaschaplain,22-May-23,austin texas,chaplain,"52,563",
atlanta georgiapastor,8-Apr-23,atlanta georgia,pastor,"52,557",
virginia beach virginiadesigner,,virginia beach virginia,designer,"52,553",
thefirefighter,15-Jun-23,the,firefighter,"52,552",With two date
albertaproperty management accountant,,alberta,property management accountant,"52,550",
pittsburgh pennsylvaniaaccountant,27-May-23,pittsburgh pennsylvania,accountant,"52,548",With two date
virginiaphysical education teacher,8-Jun-23,virginia,physical education teacher,"52,548",
milwaukee wisconsinroute supervisor,7-Jun-23,milwaukee wisconsin,route supervisor,"52,547",With two date
el paso texasimplementation consultant,28-Apr-23,el paso texas,implementation consultant,"52,546",With two date
philadelphia pennsylvaniafinancial specialist,16-Apr-23,philadelphia pennsylvania,financial specialist,"52,545",With two date
beaverton oregoninsurance agent,28-Apr-23,beaverton oregon,insurance agent,"52,544",With two date
pittsburgh pennsylvaniaparalegal,24-Feb-23,pittsburgh pennsylvania,paralegal,"52,534",
albertajunior software quality assurance engineer,3-Dec-22,alberta,junior software quality assurance engineer,"52,523",
san antonio texaslogistics specialist,10-Jun-23,san antonio texas,logistics specialist,"52,522",With two date
north york ontariochief operating officer,28-Apr-23,north york ontario,chief operating officer,"52,520",
seattle washingtonarchitectural intern,,seattle washington,architectural intern,"52,517",
tulsa oklahomamortgage underwriter,3-Aug-21,tulsa oklahoma,mortgage underwriter,"52,516",
north york ontariosupply chain specialist,,north york ontario,supply chain specialist,"52,515",
nashville tennesseephysical education teacher,1-Jun-23,nashville tennessee,physical education teacher,"52,514",With two date
ontario californiamicrobiologist,5-Jun-23,ontario california,microbiologist,"52,505",With two date
columbus ohioweb developer,25-Apr-23,columbus ohio,web developer,"52,503",
el paso texasfirefighter,4-Jun-23,el paso texas,firefighter,"52,499",
pittsburgh pennsylvaniaexecut4e assistant,12-Jun-23,pittsburgh pennsylvania,execut4e assistant,"52,494",
honolulu hawaiiaccountant,12-Jun-23,honolulu hawaii,accountant,"52,493",With two date
newfoundland and labradorclient services specialist,,newfoundland and labrador,client services specialist,"52,492",
baton rouge louisianascience teacher,29-Nov-17,baton rouge louisiana,science teacher,"52,488",
knoxville tennesseeprogrammer,,knoxville tennessee,programmer,"52,485",
fort worth texasparalegal,26-May-23,fort worth texas,paralegal,"52,482",
midland texasengineer manager,22-Feb-23,midland texas,engineer manager,"52,476",
phoenix arizonaengineering supervisor,4-Apr-23,phoenix arizona,engineering supervisor,"52,473",
lansing michigansoftware manager,,lansing michigan,software manager,"52,472",
wisconsinperfusionist,25-Apr-23,wisconsin,perfusionist,"52,470",
washington district of columbiapastor,26-May-22,washington district of columbia,pastor,"52,463",With two date
alaska.net developer,8-Oct-22,alaska,.net developer,"52,462",With two date
michigansous chef,15-Jun-23,michigan,sous chef,"52,461",With two date
south carolinaclaims adjuster,14-Jun-23,south carolina,claims adjuster,"52,460",
salt lake city utahbim modeler,25-Aug-22,salt lake city utah,bim modeler,"52,459",With two date
oklahoma city oklahomamental health technician,,oklahoma city oklahoma,mental health technician,"52,457",
mobile alabamafirefighter,9-Jun-23,mobile alabama,firefighter,"52,454",
toronto ontariorecruiting specialist,26-Apr-23,toronto ontario,recruiting specialist,"52,454",With two date
las vegas nevadaaccount representat4e,25-Apr-23,las vegas nevada,account representat4e,"52,450",
wisconsininsurance underwriter,11-Mar-23,wisconsin,insurance underwriter,"52,442",
ottawa ontariojunior data engineer,,ottawa ontario,junior data engineer,"52,441",
akron ohiosenior engineering manager,,akron ohio,senior engineering manager,"52,441",
fresno texasdirector of engineering,,fresno texas,director of engineering,"52,441",
tennesseeecologist,12-Jun-23,tennessee,ecologist,"52,441",With two date
fort collins coloradosocial worker,,fort collins colorado,social worker,"52,438",
nashville tennesseemarketing specialist,26-May-23,nashville tennessee,marketing specialist,"52,438",With two date
connecticuthome inspector,21-May-23,connecticut,home inspector,"52,436",With two date
phoenix arizonaentry level marketing,22-Apr-23,phoenix arizona,entry level marketing,"52,428",
indianamarketing specialist,8-Jun-23,indiana,marketing specialist,"52,422",
burlington vermontios developer,,burlington vermont,ios developer,"52,422",
birmingham alabamarecruiter,20-May-23,birmingham alabama,recruiter,"52,412",
bowling green kentuckychief technology officer,6-Jun-23,bowling green kentucky,chief technology officer,"52,411",
austin texassolution specialist,,austin texas,solution specialist,"52,407",
seattle washingtontattoo artist,23-Apr-23,seattle washington,tattoo artist,"52,404",
lynchburg virginiasoftware manager,20-Mar-23,lynchburg virginia,software manager,"52,404",With two date
virginia beach virginiafirefighter,29-Mar-23,virginia beach virginia,firefighter,"52,404",
west virginialogistics supervisor,31-Oct-22,west virginia,logistics supervisor,"52,401",
orlando floridawater treatment specialist,11-Aug-22,orlando florida,water treatment specialist,"52,399",With two date
lynchburg virginiachief technology officer,20-May-23,lynchburg virginia,chief technology officer,"52,396",With two date
greensboro north carolinaaccountant,29-Apr-23,greensboro north carolina,accountant,"52,394",
kentuckyphysical education teacher,31-May-23,kentucky,physical education teacher,"52,393",With two date
nova scotiacorrespondent,13-Apr-23,nova scotia,correspondent,"52,387",
arkansasspecial education teacher,13-Jun-23,arkansas,special education teacher,"52,383",
louisville kentuckyhome inspector,4-May-23,louisville kentucky,home inspector,"52,380",With two date
ottawa ontariopastor,11-Feb-22,ottawa ontario,pastor,"52,366",
greenville south carolinaexecut4e assistant,26-May-23,greenville south carolina,execut4e assistant,"52,363",
jackson mississippichief technology officer,13-Jun-23,jackson mississippi,chief technology officer,"52,362",With two date
chicago illinoisrece4er,28-Apr-23,chicago illinois,rece4er,"52,357",With two date
minnesotavocational rehabilitation counselor,2-Feb-23,minnesota,vocational rehabilitation counselor,"52,355",
chicago illinoisloan processor,9-Jun-23,chicago illinois,loan processor,"52,355",With two date
winnipeg mbrecruiting specialist,,winnipeg mb,recruiting specialist,"52,354",
thereading specialist,13-Jun-23,the,reading specialist,"52,353",With two date
baton rouge louisianasocial studies teacher,,baton rouge louisiana,social studies teacher,"52,353",
saskatchewanhuman resources coordinator,27-May-23,saskatchewan,human resources coordinator,"52,350",
oahu island hawaiiengineer manager,28-Apr-23,oahu island hawaii,engineer manager,"52,350",With two date
tampa floridasenior member of technical,,tampa florida,senior member of technical,"52,349",
cortland new yorkchief operating officer,15-Apr-23,cortland new york,chief operating officer,"52,344",
lubbock texassocial worker,23-May-23,lubbock texas,social worker,"52,344",With two date
norfolk virginiadeputy sheriff,1-May-23,norfolk virginia,deputy sheriff,"52,343",
orlando floridamanagement trainee,25-May-23,orlando florida,management trainee,"52,341",
oregonmarketing coordinator,1-May-23,oregon,marketing coordinator,"52,336",
oklahomaair traffic controller,21-Feb-23,oklahoma,air traffic controller,"52,334",
wisconsinproduction scheduler,16-May-23,wisconsin,production scheduler,"52,332",
mainespecial education teacher,6-Jun-23,maine,special education teacher,"52,330",
canadarelocation specialist,,canada,relocation specialist,"52,327",
chattanooga tennesseesourcing specialist,,chattanooga tennessee,sourcing specialist,"52,326",
raleigh north carolinasous chef,9-Jun-23,raleigh north carolina,sous chef,"52,326",
bend oregonweb developer,,bend oregon,web developer,"52,325",
norfolk virginiapublic defender,4-Apr-23,norfolk virginia,public defender,"52,323",With two date
monroe wisconsinsenior engineer,21-Apr-23,monroe wisconsin,senior engineer,"52,322",
tampa floridasocial worker,27-Apr-23,tampa florida,social worker,"52,321",With two date
new brunswicksales representat4e,27-May-23,new brunswick,sales representat4e,"52,321",With two date
prescott arizonasystems administrator,,prescott arizona,systems administrator,"52,315",
alexandria ontariofrontend software engineer,5-May-22,alexandria ontario,frontend software engineer,"52,313",
newfoundland and labradorrecruiter,,newfoundland and labrador,recruiter,"52,307",
dayton tennesseeengineer manager,12-Sep-22,dayton tennessee,engineer manager,"52,307",
frisco texasmarketing coordinator,14-Apr-23,frisco texas,marketing coordinator,"52,307",
adrian michiganchief technology officer,5-Jan-22,adrian michigan,chief technology officer,"52,305",
ottawa south ontarioengineer manager,,ottawa south ontario,engineer manager,"52,302",
long beach californiachaplain,,long beach california,chaplain,"52,302",
williamsport pennsylvaniachief technology officer,29-Jan-23,williamsport pennsylvania,chief technology officer,"52,301",
ohiomarketing specialist,19-May-23,ohio,marketing specialist,"52,300",
puerto ricojunior senior engineer,19-May-23,puerto rico,junior senior engineer,"52,297",
fresno californiabiomedical technician,14-Jun-22,fresno california,biomedical technician,"52,296",With two date
philadelphia pennsylvaniaclinician,13-Jun-23,philadelphia pennsylvania,clinician,"52,295",With two date
little rock arkansaschemist,,little rock arkansas,chemist,"52,295",
greensboro north carolinaretention specialist,,greensboro north carolina,retention specialist,"52,294",
birmingham alabamasoftware manager,,birmingham alabama,software manager,"52,293",
canadamanagement trainee,13-Jun-23,canada,management trainee,"52,291",
west palm beach floridafirefighter,28-Oct-22,west palm beach florida,firefighter,"52,290",With two date
laredo texasapplication developer,,laredo texas,application developer,"52,287",
haymarket virginiachief technology officer,25-Jan-21,haymarket virginia,chief technology officer,"52,286",
washingtonarchitectural intern,27-Apr-23,washington,architectural intern,"52,283",
rhode islandguidance counselor,,rhode island,guidance counselor,"52,281",
bend oregoncomputer programmer,,bend oregon,computer programmer,"52,279",
los angeles californiaappraiser,16-Mar-23,los angeles california,appraiser,"52,279",With two date
toronto ontarioinsurance agent,6-Jun-23,toronto ontario,insurance agent,"52,274",
roanoke virginiaexecut4e assistant,24-Apr-23,roanoke virginia,execut4e assistant,"52,274",With two date
harrisburg pennsylvaniaadvertising specialist,,harrisburg pennsylvania,advertising specialist,"52,272",
stillwater minnesotasystems administrator,,stillwater minnesota,systems administrator,"52,271",
new jerseyrecruiter,13-Jun-23,new jersey,recruiter,"52,271",With two date
spokane washingtonsenior vice president of engineering,,spokane washington,senior vice president of engineering,"52,268",
austin texasmarketing coordinator,10-Jun-23,austin texas,marketing coordinator,"52,267",
jersey city new jerseysocial worker,27-Feb-23,jersey city new jersey,social worker,"52,267",With two date
nova scotiawellness specialist,19-Feb-22,nova scotia,wellness specialist,"52,266",
irvine californialoan processor,14-Apr-23,irvine california,loan processor,"52,266",
rochester new yorkchemist,31-Mar-23,rochester new york,chemist,"52,264",
san antonio texascopywriter,22-Oct-22,san antonio texas,copywriter,"52,261",
birmingham alabamaaccountant,15-Dec-22,birmingham alabama,accountant,"52,260",
lincoln nebraskaarchitectural designer,17-Mar-23,lincoln nebraska,architectural designer,"52,259",With two date
spokane washingtonparalegal,26-May-23,spokane washington,paralegal,"52,258",
british columbiajunior data analyst,,british columbia,junior data analyst,"52,256",
mesa arizonafirefighter,22-Feb-22,mesa arizona,firefighter,"52,255",
austin texaslinguist,22-May-23,austin texas,linguist,"52,255",
vermontbuyer,,vermont,buyer,"52,252",
newfoundland and labradorfrontend software engineer,,newfoundland and labrador,frontend software engineer,"52,250",
norfolk virginiapersonnel specialist,,norfolk virginia,personnel specialist,"52,249",
vancouver bcimmigration consultant,24-May-23,vancouver bc,immigration consultant,"52,248",With two date
"singaporesource tooltip for average base salary. $52,247. the average salary for a acoustic consultant",9-Jun-23,singapore,"source tooltip for average base salary. $52,247. the average salary for a acoustic consultant","52,247",With two date
casper wyomingdirector of engineering,1-Jun-23,casper wyoming,director of engineering,"52,243",
louisianahuman resources generalist,13-Jun-23,louisiana,human resources generalist,"52,241",
bronx new yorklibrarian,,bronx new york,librarian,"52,240",
louisville kentuckymarketing specialist,,louisville kentucky,marketing specialist,"52,239",
british columbiaaccounts payable specialist,23-May-23,british columbia,accounts payable specialist,"52,235",With two date
norfolk virginiamarketing coordinator,5-Jun-23,norfolk virginia,marketing coordinator,"52,234",
saskatchewanfinancial advisor,12-Jun-23,saskatchewan,financial advisor,"52,233",
south carolinadigital marketer,,south carolina,digital marketer,"52,231",
oklahomarecruiter,15-Jun-23,oklahoma,recruiter,"52,226",
baltimore marylandparalegal,,baltimore maryland,paralegal,"52,223",
overland park kansasexecut4e assistant,,overland park kansas,execut4e assistant,"52,220",
minnesotacommunication specialist,25-Apr-23,minnesota,communication specialist,"52,213",
wyomingwildlife biologist,14-Apr-23,wyoming,wildlife biologist,"52,211",With two date
stwarehouse supervisor,21-Apr-23,st,warehouse supervisor,"52,210",
californiajunior software architect,,california,junior software architect,"52,208",
portland maineexecut4e assistant,,portland maine,execut4e assistant,"52,203",
lexington kentuckybuyer,,lexington kentucky,buyer,"52,192",
wilmington north carolinaengineer manager,21-May-23,wilmington north carolina,engineer manager,"52,189",
stdemand planner,6-Jun-23,st,demand planner,"52,185",
arkansasbusiness intelligence developer,24-Apr-23,arkansas,business intelligence developer,"52,179",
winona lake indianadata analyst,,winona lake indiana,data analyst,"52,177",
oklahomainformation technology manager,,oklahoma,information technology manager,"52,167",
atlanta georgialogistics specialist,23-Nov-22,atlanta georgia,logistics specialist,"52,166",With two date
washington district of columbiabuyer,,washington district of columbia,buyer,"52,164",
tampa floridaliaison,23-May-23,tampa florida,liaison,"52,163",
